Title,GitHubCoverURL
King Sorrow,https://mrchristianq.github.io/chris-delicious-library/covers/books/king-sorrow.jpg
Sunrise on the Reaping (The Hunger Games),https://mrchristianq.github.io/chris-delicious-library/covers/books/sunrise-on-the-reaping-the-hunger-games.jpg
Black & Decker The Complete Guide to Wiring Updated 8th Edition,https://mrchristianq.github.io/chris-delicious-library/covers/books/black-decker-the-complete-guide-to-wiring-updated-.jpg
Storm Front,https://mrchristianq.github.io/chris-delicious-library/covers/books/storm-front.jpg
Mr. Monk on Patrol,https://mrchristianq.github.io/chris-delicious-library/covers/books/mr-monk-on-patrol.jpg
Marked,https://mrchristianq.github.io/chris-delicious-library/covers/books/marked.jpg
Mr. Monk Gets on Board,https://mrchristianq.github.io/chris-delicious-library/covers/books/mr-monk-gets-on-board.jpg
The Sword of Shannara Trilogy,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-sword-of-shannara-trilogy.jpg
A Dance with Dragons,https://mrchristianq.github.io/chris-delicious-library/covers/books/a-dance-with-dragons.jpg
Mr. Monk Helps Himself,https://mrchristianq.github.io/chris-delicious-library/covers/books/mr-monk-helps-himself.jpg
Mr. Monk Is Open for Business,https://mrchristianq.github.io/chris-delicious-library/covers/books/mr-monk-is-open-for-business.jpg
Credence,https://mrchristianq.github.io/chris-delicious-library/covers/books/credence.jpg
The Hobbit (Movie Tie-in Edition),https://mrchristianq.github.io/chris-delicious-library/covers/books/the-hobbit-movie-tie-in-edition.jpg
The Da Vinci Code,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-da-vinci-code.jpg
The Omen Machine,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-omen-machine.jpg
The Way of Kings,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-way-of-kings.jpg
Dear Girls,https://mrchristianq.github.io/chris-delicious-library/covers/books/dear-girls.jpg
Oathbringer,https://mrchristianq.github.io/chris-delicious-library/covers/books/oathbringer.jpg
Grain Brain,https://mrchristianq.github.io/chris-delicious-library/covers/books/grain-brain.jpg
The First Confessor,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-first-confessor.jpg
Words of Radiance,https://mrchristianq.github.io/chris-delicious-library/covers/books/words-of-radiance.jpg
Dracula,https://mrchristianq.github.io/chris-delicious-library/covers/books/dracula.jpg
Phantom,https://mrchristianq.github.io/chris-delicious-library/covers/books/phantom.jpg
"Mockingjay (Hunger Games, Book Three)",https://mrchristianq.github.io/chris-delicious-library/covers/books/mockingjay-hunger-games-book-three.jpg
"Catching Fire (Hunger Games, Book Two)",https://mrchristianq.github.io/chris-delicious-library/covers/books/catching-fire-hunger-games-book-two.jpg
"The Hunger Games (Hunger Games, Book One)",https://mrchristianq.github.io/chris-delicious-library/covers/books/the-hunger-games-hunger-games-book-one.jpg
Abraham Lincoln: Vampire Hunter,https://mrchristianq.github.io/chris-delicious-library/covers/books/abraham-lincoln-vampire-hunter.jpg
The Babysitter III,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-babysitter-iii.jpg
The Baby-sitter II,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-baby-sitter-ii.jpg
The Hitchhiker,https://mrchristianq.github.io/chris-delicious-library/covers/books/the-hitchhiker.jpg
Beach House,https://mrchristianq.github.io/chris-delicious-library/covers/books/beach-house.jpg
A Storm of Swords,https://mrchristianq.github.io/chris-delicious-library/covers/books/a-storm-of-swords.jpg
A Feast for Crows,https://mrchristianq.github.io/chris-delicious-library/covers/books/a-feast-for-crows.jpg
A Clash of Kings,https://mrchristianq.github.io/chris-delicious-library/covers/books/a-clash-of-kings.jpg
A Game of Thrones,https://mrchristianq.github.io/chris-delicious-library/covers/books/a-game-of-thrones.jpg
Confessor,https://mrchristianq.github.io/chris-delicious-library/covers/books/confessor.jpg
Chainfire,https://mrchristianq.github.io/chris-delicious-library/covers/books/chainfire.jpg
Naked Empire,https://mrchristianq.github.io/chris-delicious-library/covers/books/naked-empire.jpg
