Title,GitHubCoverURL
2482,https://mrchristianq.github.io/chris-delicious-library/covers/games/2482.jpg
PocketBike Racer,https://mrchristianq.github.io/chris-delicious-library/covers/games/pocketbike-racer.jpg
The Guild II,https://mrchristianq.github.io/chris-delicious-library/covers/games/the-guild-ii.jpg
The Godfather: The Game,https://mrchristianq.github.io/chris-delicious-library/covers/games/the-godfather-the-game.jpg
Kao the Kangaroo,https://mrchristianq.github.io/chris-delicious-library/covers/games/kao-the-kangaroo.jpg
Moonlighter,https://mrchristianq.github.io/chris-delicious-library/covers/games/moonlighter.jpg
OutRun 2 SP,https://mrchristianq.github.io/chris-delicious-library/covers/games/outrun-2-sp.jpg
Thief,https://mrchristianq.github.io/chris-delicious-library/covers/games/thief.jpg
Medal of Honor,https://mrchristianq.github.io/chris-delicious-library/covers/games/medal-of-honor.jpg
Blair Witch,https://mrchristianq.github.io/chris-delicious-library/covers/games/blair-witch.jpg
The Legend of Zelda: Link's Awakening,https://mrchristianq.github.io/chris-delicious-library/covers/games/the-legend-of-zelda-links-awakening.jpg
1,https://mrchristianq.github.io/chris-delicious-library/covers/games/1.jpg
Tomb Raider I,https://mrchristianq.github.io/chris-delicious-library/covers/games/tomb-raider-i.jpg
Fallout 3,https://mrchristianq.github.io/chris-delicious-library/covers/games/fallout-3.jpg
The Long Dark,https://mrchristianq.github.io/chris-delicious-library/covers/games/the-long-dark.jpg
Divinity: Original Sin,https://mrchristianq.github.io/chris-delicious-library/covers/games/divinity-original-sin.jpg
The Legend of Zelda: Ocarina of Time,https://mrchristianq.github.io/chris-delicious-library/covers/games/the-legend-of-zelda-ocarina-of-time.jpg
Stranger of Paradise,https://mrchristianq.github.io/chris-delicious-library/covers/games/stranger-of-paradise.jpg
Moonlighter 2,https://mrchristianq.github.io/chris-delicious-library/covers/games/moonlighter-2.jpg
Cronos,https://mrchristianq.github.io/chris-delicious-library/covers/games/cronos.jpg
S.T.A.L.K.E.R. 2,https://mrchristianq.github.io/chris-delicious-library/covers/games/stalker-2.jpg
Blood of the Dawnwalker,https://mrchristianq.github.io/chris-delicious-library/covers/games/blood-of-the-dawnwalker.jpg
Prince of Persia: Sands of Time (2026),https://mrchristianq.github.io/chris-delicious-library/covers/games/prince-of-persia-sands-of-time-2026.jpg
Gothic Remake,https://mrchristianq.github.io/chris-delicious-library/covers/games/gothic-remake.jpg
Marvel Wolverine,https://mrchristianq.github.io/chris-delicious-library/covers/games/marvel-wolverine.jpg
Romeo is Dead,https://mrchristianq.github.io/chris-delicious-library/covers/games/romeo-is-dead.jpg
Tomb Raider IV-VI Remastered,https://mrchristianq.github.io/chris-delicious-library/covers/games/tomb-raider-iv-vi-remastered.jpg
