Title,GitHubCoverURL
28 Years Later: The Bone Temple,https://mrchristianq.github.io/chris-delicious-library/covers/movies/28-years-later-the-bone-temple.jpg
A Family Affair,https://mrchristianq.github.io/chris-delicious-library/covers/movies/a-family-affair.jpg
A Haunting in Venice,https://mrchristianq.github.io/chris-delicious-library/covers/movies/a-haunting-in-venice.jpg
A Quiet Place: Day One,https://mrchristianq.github.io/chris-delicious-library/covers/movies/a-quiet-place-day-one.jpg
A Quiet Place Part II,https://mrchristianq.github.io/chris-delicious-library/covers/movies/a-quiet-place-part-ii.jpg
Abigail,https://mrchristianq.github.io/chris-delicious-library/covers/movies/abigail.jpg
All My Friends Are Dead,https://mrchristianq.github.io/chris-delicious-library/covers/movies/all-my-friends-are-dead.jpg
Anyone But You,https://mrchristianq.github.io/chris-delicious-library/covers/movies/anyone-but-you.jpg
Aquaman,https://mrchristianq.github.io/chris-delicious-library/covers/movies/aquaman.jpg
Avatar,https://mrchristianq.github.io/chris-delicious-library/covers/movies/avatar.jpg
Avengers: Endgame,https://mrchristianq.github.io/chris-delicious-library/covers/movies/avengers-endgame.jpg
Back in Action,https://mrchristianq.github.io/chris-delicious-library/covers/movies/back-in-action.jpg
Bad Boys: Ride or Die,https://mrchristianq.github.io/chris-delicious-library/covers/movies/bad-boys-ride-or-die.jpg
Barbie,https://mrchristianq.github.io/chris-delicious-library/covers/movies/barbie.jpg
Becky,https://mrchristianq.github.io/chris-delicious-library/covers/movies/becky.jpg
Beetlejuice Beetlejuice,https://mrchristianq.github.io/chris-delicious-library/covers/movies/beetlejuice-beetlejuice.jpg
Beverly Hills Cop: Axel F,https://mrchristianq.github.io/chris-delicious-library/covers/movies/beverly-hills-cop-axel-f.jpg
Black Panther,https://mrchristianq.github.io/chris-delicious-library/covers/movies/black-panther.jpg
Black Widow,https://mrchristianq.github.io/chris-delicious-library/covers/movies/black-widow.jpg
Blink Twice,https://mrchristianq.github.io/chris-delicious-library/covers/movies/blink-twice.jpg
Boy Kills World,https://mrchristianq.github.io/chris-delicious-library/covers/movies/boy-kills-world.jpg
Captain Marvel,https://mrchristianq.github.io/chris-delicious-library/covers/movies/captain-marvel.jpg
Carry-On,https://mrchristianq.github.io/chris-delicious-library/covers/movies/carry-on.jpg
Cheaper by the Dozen,https://mrchristianq.github.io/chris-delicious-library/covers/movies/cheaper-by-the-dozen.jpg
Daughter of the Bride,https://mrchristianq.github.io/chris-delicious-library/covers/movies/daughter-of-the-bride.jpg
Deadpool,https://mrchristianq.github.io/chris-delicious-library/covers/movies/deadpool.jpg
Deadpool & Wolverine,https://mrchristianq.github.io/chris-delicious-library/covers/movies/deadpool-wolverine.jpg
Dear Santa,https://mrchristianq.github.io/chris-delicious-library/covers/movies/dear-santa.jpg
Death on the Nile,https://mrchristianq.github.io/chris-delicious-library/covers/movies/death-on-the-nile.jpg
Deep Water,https://mrchristianq.github.io/chris-delicious-library/covers/movies/deep-water.jpg
Dune: Part Two,https://mrchristianq.github.io/chris-delicious-library/covers/movies/dune-part-two.jpg
Dust Bunny,https://mrchristianq.github.io/chris-delicious-library/covers/movies/dust-bunny.jpg
Eternals,https://mrchristianq.github.io/chris-delicious-library/covers/movies/eternals.jpg
Extraction 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/extraction-2.jpg
Family Switch,https://mrchristianq.github.io/chris-delicious-library/covers/movies/family-switch.jpg
Five Nights at Freddy's,https://mrchristianq.github.io/chris-delicious-library/covers/movies/five-nights-at-freddys.jpg
Five Nights at Freddy's 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/five-nights-at-freddys-2.jpg
Forrest Gump,https://mrchristianq.github.io/chris-delicious-library/covers/movies/forrest-gump.jpg
Freaky Friday 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/freaky-friday-2.jpg
Fresh,https://mrchristianq.github.io/chris-delicious-library/covers/movies/fresh.jpg
Frozen,https://mrchristianq.github.io/chris-delicious-library/covers/movies/frozen.jpg
Furiosa: A Mad Max Saga,https://mrchristianq.github.io/chris-delicious-library/covers/movies/furiosa-a-mad-max-saga.jpg
Gladiator II,https://mrchristianq.github.io/chris-delicious-library/covers/movies/gladiator-ii.jpg
Greenland 2: Migration,https://mrchristianq.github.io/chris-delicious-library/covers/movies/greenland-2-migration.jpg
Halloween Ends,https://mrchristianq.github.io/chris-delicious-library/covers/movies/halloween-ends.jpg
Harry Potter and the Prisoner of Azkaban,https://mrchristianq.github.io/chris-delicious-library/covers/movies/harry-potter-and-the-prisoner-of-azkaban.jpg
Heart of Stone,https://mrchristianq.github.io/chris-delicious-library/covers/movies/heart-of-stone.jpg
Heretic,https://mrchristianq.github.io/chris-delicious-library/covers/movies/heretic.jpg
Hit Man,https://mrchristianq.github.io/chris-delicious-library/covers/movies/hit-man.jpg
In Bruges,https://mrchristianq.github.io/chris-delicious-library/covers/movies/in-bruges.jpg
Inception,https://mrchristianq.github.io/chris-delicious-library/covers/movies/inception.jpg
Incoming,https://mrchristianq.github.io/chris-delicious-library/covers/movies/incoming.jpg
It's What's Inside,https://mrchristianq.github.io/chris-delicious-library/covers/movies/its-whats-inside.jpg
Jingle Bell Heist,https://mrchristianq.github.io/chris-delicious-library/covers/movies/jingle-bell-heist.jpg
Juror #2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/juror-2.jpg
Kingdom of the Planet of the Apes,https://mrchristianq.github.io/chris-delicious-library/covers/movies/kingdom-of-the-planet-of-the-apes.jpg
Locked,https://mrchristianq.github.io/chris-delicious-library/covers/movies/locked.jpg
Longlegs,https://mrchristianq.github.io/chris-delicious-library/covers/movies/longlegs.jpg
Love and Monsters,https://mrchristianq.github.io/chris-delicious-library/covers/movies/love-and-monsters.jpg
Meg 2: The Trench,https://mrchristianq.github.io/chris-delicious-library/covers/movies/meg-2-the-trench.jpg
Mission: Impossible – Dead Reckoning Part One,https://mrchristianq.github.io/chris-delicious-library/covers/movies/mission-impossible-dead-reckoning-part-one.jpg
Monster Summer,https://mrchristianq.github.io/chris-delicious-library/covers/movies/monster-summer.jpg
Mr. Monk's Last Case: A Monk Movie,https://mrchristianq.github.io/chris-delicious-library/covers/movies/mr-monks-last-case-a-monk-movie.jpg
No Time to Die,https://mrchristianq.github.io/chris-delicious-library/covers/movies/no-time-to-die.jpg
Nobody 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/nobody-2.jpg
One Battle After Another,https://mrchristianq.github.io/chris-delicious-library/covers/movies/one-battle-after-another.jpg
Pathaan,https://mrchristianq.github.io/chris-delicious-library/covers/movies/pathaan.jpg
Playdate,https://mrchristianq.github.io/chris-delicious-library/covers/movies/playdate.jpg
Please Don't Destroy: The Treasure of Foggy Mountain,https://mrchristianq.github.io/chris-delicious-library/covers/movies/please-dont-destroy-the-treasure-of-foggy-mountain.jpg
Poor Things,https://mrchristianq.github.io/chris-delicious-library/covers/movies/poor-things.jpg
Prey,https://mrchristianq.github.io/chris-delicious-library/covers/movies/prey.jpg
Puppy Love,https://mrchristianq.github.io/chris-delicious-library/covers/movies/puppy-love.jpg
Red Eye,https://mrchristianq.github.io/chris-delicious-library/covers/movies/red-eye.jpg
Red One,https://mrchristianq.github.io/chris-delicious-library/covers/movies/red-one.jpg
Ronny Chieng: Love to Hate It,https://mrchristianq.github.io/chris-delicious-library/covers/movies/ronny-chieng-love-to-hate-it.jpg
Salem's Lot,https://mrchristianq.github.io/chris-delicious-library/covers/movies/salems-lot.jpg
Scream (2022),https://mrchristianq.github.io/chris-delicious-library/covers/movies/scream-2022.jpg
Scream VI,https://mrchristianq.github.io/chris-delicious-library/covers/movies/scream-vi.jpg
Sonic the Hedgehog 3,https://mrchristianq.github.io/chris-delicious-library/covers/movies/sonic-the-hedgehog-3.jpg
Spider-Man: Far From Home,https://mrchristianq.github.io/chris-delicious-library/covers/movies/spider-man-far-from-home.jpg
Spider-Man: Homecoming,https://mrchristianq.github.io/chris-delicious-library/covers/movies/spider-man-homecoming.jpg
Talk to Me,https://mrchristianq.github.io/chris-delicious-library/covers/movies/talk-to-me.jpg
Terrifier 3,https://mrchristianq.github.io/chris-delicious-library/covers/movies/terrifier-3.jpg
That Christmas,https://mrchristianq.github.io/chris-delicious-library/covers/movies/that-christmas.jpg
The 4:30 Movie,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-430-movie.jpg
The Adam Project,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-adam-project.jpg
The Batman,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-batman.jpg
The Count of Monte Cristo,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-count-of-monte-cristo.jpg
The Girl in the Pool,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-girl-in-the-pool.jpg
The Killer's Game,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-killers-game.jpg
The Lion King,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-lion-king.jpg
The Long Walk,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-long-walk.jpg
The Lost Bus,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-lost-bus.jpg
The Portable Door,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-portable-door.jpg
The Strangers: Chapter 2,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-strangers-chapter-2.jpg
The Substance,https://mrchristianq.github.io/chris-delicious-library/covers/movies/the-substance.jpg
