Title,GitHubCoverURL
Orphan Black: Echoes,https://mrchristianq.github.io/chris-delicious-library/covers/tv/orphan-black-echoes.jpg
Red Rose,https://mrchristianq.github.io/chris-delicious-library/covers/tv/red-rose.jpg
Obliterated,https://mrchristianq.github.io/chris-delicious-library/covers/tv/obliterated.jpg
The Curse,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-curse.jpg
The Fall of the House of Usher,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-fall-of-the-house-of-usher.jpg
Ahsoka,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ahsoka.jpg
Harlan Coben's Shelter,https://mrchristianq.github.io/chris-delicious-library/covers/tv/harlan-cobens-shelter.jpg
Hijack,https://mrchristianq.github.io/chris-delicious-library/covers/tv/hijack.jpg
Secret Invasion,https://mrchristianq.github.io/chris-delicious-library/covers/tv/secret-invasion.jpg
Based On A True Story,https://mrchristianq.github.io/chris-delicious-library/covers/tv/based-on-a-true-story.jpg
Arnold,https://mrchristianq.github.io/chris-delicious-library/covers/tv/arnold.jpg
FUBAR,https://mrchristianq.github.io/chris-delicious-library/covers/tv/fubar.jpg
American Born Chinese,https://mrchristianq.github.io/chris-delicious-library/covers/tv/american-born-chinese.jpg
Silo,https://mrchristianq.github.io/chris-delicious-library/covers/tv/silo.jpg
Citadel,https://mrchristianq.github.io/chris-delicious-library/covers/tv/citadel.jpg
Love & Death,https://mrchristianq.github.io/chris-delicious-library/covers/tv/love-death.jpg
The Haunting,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-haunting.jpg
Mrs. Davis,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mrs-davis.jpg
The Last Thing He Told Me,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-last-thing-he-told-me.jpg
The Night Agent,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-night-agent.jpg
Extrapolations,https://mrchristianq.github.io/chris-delicious-library/covers/tv/extrapolations.jpg
Class of '07,https://mrchristianq.github.io/chris-delicious-library/covers/tv/class-of-07.jpg
School Spirits (2023),https://mrchristianq.github.io/chris-delicious-library/covers/tv/school-spirits-2023.jpg
"History of the World, Part II",https://mrchristianq.github.io/chris-delicious-library/covers/tv/history-of-the-world-part-ii.jpg
Hello Tomorrow!,https://mrchristianq.github.io/chris-delicious-library/covers/tv/hello-tomorrow.jpg
Lockwood & Co.,https://mrchristianq.github.io/chris-delicious-library/covers/tv/lockwood-co.jpg
The Last of Us,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-last-of-us.jpg
Anne Rice's Mayfair Witches,https://mrchristianq.github.io/chris-delicious-library/covers/tv/anne-rices-mayfair-witches.jpg
The Witcher: Blood Origin,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-witcher-blood-origin.jpg
National Treasure: Edge of History,https://mrchristianq.github.io/chris-delicious-library/covers/tv/national-treasure-edge-of-history.jpg
Willow,https://mrchristianq.github.io/chris-delicious-library/covers/tv/willow.jpg
Wednesday,https://mrchristianq.github.io/chris-delicious-library/covers/tv/wednesday.jpg
1899,https://mrchristianq.github.io/chris-delicious-library/covers/tv/1899.jpg
Tulsa King,https://mrchristianq.github.io/chris-delicious-library/covers/tv/tulsa-king.jpg
Blockbuster,https://mrchristianq.github.io/chris-delicious-library/covers/tv/blockbuster.jpg
The Devil's Hour,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-devils-hour.jpg
Guillermo del Toro's Cabinet of Curiosities,https://mrchristianq.github.io/chris-delicious-library/covers/tv/guillermo-del-toros-cabinet-of-curiosities.jpg
The Peripheral,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-peripheral.jpg
The Midnight Club,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-midnight-club.jpg
Interview With The Vampire,https://mrchristianq.github.io/chris-delicious-library/covers/tv/interview-with-the-vampire.jpg
Andor,https://mrchristianq.github.io/chris-delicious-library/covers/tv/andor.jpg
Cyberpunk: Edgerunners,https://mrchristianq.github.io/chris-delicious-library/covers/tv/cyberpunk-edgerunners.jpg
The Lord of the Rings: The Rings of Power,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-lord-of-the-rings-the-rings-of-power.jpg
House of the Dragon,https://mrchristianq.github.io/chris-delicious-library/covers/tv/house-of-the-dragon.jpg
She-Hulk: Attorney at Law,https://mrchristianq.github.io/chris-delicious-library/covers/tv/she-hulk-attorney-at-law.jpg
The Sandman,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-sandman.jpg
Mike Judge's Beavis and Butt-Head,https://mrchristianq.github.io/chris-delicious-library/covers/tv/mike-judges-beavis-and-butt-head.jpg
Paper Girls,https://mrchristianq.github.io/chris-delicious-library/covers/tv/paper-girls.jpg
The Resort,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-resort.jpg
The Rehearsal,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-rehearsal.jpg
"Boo, Bitch",https://mrchristianq.github.io/chris-delicious-library/covers/tv/boo-bitch.jpg
The Terminal List,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-terminal-list.jpg
Man Vs Bee,https://mrchristianq.github.io/chris-delicious-library/covers/tv/man-vs-bee.jpg
The Bear,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-bear.jpg
Ms. Marvel,https://mrchristianq.github.io/chris-delicious-library/covers/tv/ms-marvel.jpg
Obi-Wan Kenobi,https://mrchristianq.github.io/chris-delicious-library/covers/tv/obi-wan-kenobi.jpg
The Time Traveler's Wife,https://mrchristianq.github.io/chris-delicious-library/covers/tv/the-time-travelers-wife.jpg
